location,model,horizon,target_date,metric,value
US,historical_drift,3,2024-03-09,dev,10478745.193921
US,historical_drift,3,2024-03-09,wis,1874.271732608696
US,historical_drift,3,2024-03-16,dev,8554601.280624999
US,historical_drift,3,2024-03-16,wis,1750.478676521739
US,historical_drift,3,2024-03-23,dev,410341.4552409997
US,historical_drift,3,2024-03-23,wis,1027.7512617391303
US,historical_drift,3,2024-03-30,dev,9538066.317376
US,historical_drift,3,2024-03-30,wis,1778.7039417391304
US,historical_drift,3,2024-04-06,dev,4708696.022209002
US,historical_drift,3,2024-04-06,wis,1364.5170356521735
US,historical_drift,3,2024-04-13,dev,12392.142399999935
US,historical_drift,3,2024-04-13,wis,917.2540113043478
US,historical_drift,3,2024-04-20,dev,1121089.2042250002
US,historical_drift,3,2024-04-20,wis,898.7846713043477
AL,historical_drift,0,2023-10-07,dev,226.051225
AL,historical_drift,0,2023-10-07,wis,8.281982173913043
AL,historical_drift,0,2023-10-14,dev,41.03683599999999
AL,historical_drift,0,2023-10-14,wis,5.173841739130435
AL,historical_drift,0,2023-10-21,dev,4.414200999999996
AL,historical_drift,0,2023-10-21,wis,5.268469130434783
AL,historical_drift,0,2023-10-28,dev,54.11073600000002
AL,historical_drift,0,2023-10-28,wis,7.695681304347826
AL,historical_drift,0,2023-11-04,dev,75.88152099999998
AL,historical_drift,0,2023-11-04,wis,9.20419695652174
AL,historical_drift,0,2023-11-11,dev,5.513103999999995
AL,historical_drift,0,2023-11-11,wis,7.507339130434781
AL,historical_drift,0,2023-11-18,dev,72.02916900000004
AL,historical_drift,0,2023-11-18,wis,10.613641739130436
AL,historical_drift,0,2023-11-25,dev,1.7715610000000082
AL,historical_drift,0,2023-11-25,wis,10.026981739130434
AL,historical_drift,0,2023-12-02,dev,45.01068100000004
AL,historical_drift,0,2023-12-02,wis,12.85271695652174
AL,historical_drift,0,2023-12-09,dev,842.5086759999998
AL,historical_drift,0,2023-12-09,wis,23.905429130434783
AL,historical_drift,0,2023-12-16,dev,22.771984000000053
AL,historical_drift,0,2023-12-16,wis,21.80783391304348
AL,historical_drift,0,2023-12-23,dev,117.61402499999996
AL,historical_drift,0,2023-12-23,wis,17.32341347826087
AL,historical_drift,0,2023-12-30,dev,5736.093168999999
AL,historical_drift,0,2023-12-30,wis,50.278564782608704
AL,historical_drift,0,2024-01-06,dev,4.23536399999997
AL,historical_drift,0,2024-01-06,wis,47.70943565217391
AL,historical_drift,0,2024-01-13,dev,975.4378240000016
AL,historical_drift,0,2024-01-13,wis,21.877059130434784
AL,historical_drift,0,2024-01-20,dev,19289.32099600001
AL,historical_drift,0,2024-01-20,wis,98.6766595652174
AL,historical_drift,0,2024-01-27,dev,2380.6592640000003
AL,historical_drift,0,2024-01-27,wis,28.67506043478261
AL,historical_drift,0,2024-02-03,dev,1225.4900490000005
AL,historical_drift,0,2024-02-03,wis,21.544722173913044
AL,historical_drift,0,2024-02-10,dev,356.7565440000002
AL,historical_drift,0,2024-02-10,wis,16.223110869565218
AL,historical_drift,0,2024-02-17,dev,865.7129290000001
AL,historical_drift,0,2024-02-17,wis,19.378448260869565
AL,historical_drift,0,2024-02-24,dev,429.11122500000016
AL,historical_drift,0,2024-02-24,wis,16.416672608695652
AL,historical_drift,0,2024-03-02,dev,360.81002500000017
AL,historical_drift,0,2024-03-02,wis,14.176457391304348
AL,historical_drift,0,2024-03-09,dev,193.1544039999999
AL,historical_drift,0,2024-03-09,wis,10.11761391304348
AL,historical_drift,0,2024-03-16,dev,0.1797760000000056
